sep mlim
0.110295 10.68508224911051
0.12255 10.690374198897544
0.134805 10.674137534778236
0.14706 10.534021137007917
0.159315 10.019550080807392
0.17157 9.633589490350088
0.183825 9.038551349841773
0.19608 8.463680422092123
0.208335 7.617925316941832
0.22059 7.089446646010796
0.232845 6.483282522964546
0.2451 6.125310430469489
0.257355 5.952832471995087
0.26961 5.761131509968836
0.281865 5.581951953925897
0.29412 5.443334698955675
0.306375 5.288139807894861
0.31863 5.152105005328042
0.330885 4.983303741905793
0.34314 4.852639656206208
0.355395 4.762687410016473
0.36765 4.643126553274117
0.379905 4.467084053575412
0.39216 4.371338818364509
0.404415 4.334006222450343
0.41667 4.23826098723944
0.428925 4.195618151389202
0.44118 4.1063943694817295
0.453435 4.026856987813064
0.46569 3.974963696114605
0.477945 3.918826794113699
0.4902 3.8388044284104694
0.502455 3.805825514060046
0.51471 3.741807621497464
0.526965 3.6885806237039502
0.53922 3.6107406861562623
0.551475 3.5898863726699624
0.56373 3.5822478741255637
0.575985 3.566728385019484
0.58824 3.5576349343713893
0.600495 3.5566649663022574
0.61275 3.571214487339209
0.625005 3.54332790535172
0.63726 3.542357937282592
0.649515 3.535446914790039
0.66177 3.5259897261160216
0.674025 3.5298695983925414
0.68628 3.4941020258433713
0.698535 3.4816136869533203
0.71079 3.5064691187247767
0.723045 3.5033167225001067
0.7353 3.5187149655975456
0.747555 3.54211544526531
0.75981 3.5459953175418297
0.772065 3.581762890091
0.78432 3.5992223153353393
0.796575 3.653055543172062
0.80883 3.7096774292075274
0.821085 3.7918822230663034
0.83334 3.8679034704843724
0.845595 3.9471983601357565
0.85785 3.9937568274539994
0.870105 4.054622323791912
0.88236 4.050621205506751
0.894615 4.047590055290718
0.90687 4.03158558215007
0.919125 3.9904831852206843
0.93138 3.954715612671514
0.943635 3.9177355800359304
0.95589 3.847049156998073
0.968145 3.7877598587724974
0.9804 3.719255863890186
0.992655 3.6719699205200977
1.00491 3.617409216631529
1.01716 3.578610493866326
1.02942 3.5297483523839004
1.04167 3.4776125686681594
1.05393 3.4252342929351327
1.06618 3.373462247245315
1.07844 3.3511529816553236
1.0907 3.305564482406213
1.10295 3.2633708713990544
1.11521 3.233665599281946
1.12746 3.2005654389228817
1.13971 3.184318473764952
1.15197 3.1543707096305615
1.16422 3.1192896501678873
1.17648 3.0885895669219208
1.18874 3.059428763615863
1.20099 3.037707813352698
1.21325 3.0099152588821148
1.2255 2.9935817884086315
1.23775 2.96818366940013
1.25001 2.938082195019679
1.26226 2.909947578340228
1.27452 2.8856611615105474
1.28677 2.865222944530643
1.29903 2.836660750090104
1.31129 2.8122033021559893
1.32354 2.7990339071145436
1.3358 2.7771419257469447
1.34805 2.7669655750330993
1.3603 2.74601426473989
1.37256 2.7205306301791716
1.38481 2.6979545243938334
1.39707 2.6656296456557382
1.40933 2.651006486226601
1.42158 2.6320220336343882
1.43384 2.5958489550465194
1.44609 2.574726613648873
1.45834 2.555571129952227
1.4706 2.5384680195087905
1.48285 2.530429557600373
1.49511 2.502380456473139
1.50736 2.495282665639114
1.51962 2.486389048208527
1.53188 2.466977017855226
1.54413 2.456116542723642
1.55639 2.4455126142487122
1.56864 2.4319156414461816
1.58089 2.4276398638353234
1.59315 2.4067740690943307
1.6054 2.39009853641198
1.61766 2.3794090923848326
1.62991 2.3651279951645634
1.64217 2.3580302043305355
1.65443 2.349222102452165
1.66668 2.331178320934342
1.67894 2.3210019702204967
1.69119 2.3039843753292777
1.70344 2.2944921490331684
1.7157 2.2755076964409557
1.72795 2.2448931287472034
1.74021 2.2321513114668456
1.75247 2.2259941917072075
1.76472 2.2153047476800607
1.77698 2.1987147305499266
1.78923 2.1951230773568042
1.80148 2.1923010641336376
1.81374 2.1893080198060373
1.82599 2.1774213580478494
1.83825 2.177079295838978
1.8505 2.1745993448246828
1.86276 2.1696394427960857
1.87502 2.162370620857624
1.88727 2.1595486076344574
1.89953 2.1468067903540966
1.91178 2.1362883774313834
1.92403 2.1247437778820633
1.93629 2.1136267560938315
1.94854 2.106443449707587
1.9608 2.098233956694738
1.97306 2.0909597612428916
1.98531 2.0820379522549515
1.99757 2.076573877850855
2.00982 2.0702987299023996
2.02207 2.0660299217741995
2.03433 2.060864663939076
2.04659 2.0591998287690774
2.05884 2.059712085744462
2.07109 2.062316058702664
2.08335 2.063554013059843
2.0956 2.065005407823431
2.10786 2.064493150848046
2.12012 2.0556140299413896
2.13237 2.0532661854708785
2.14462 2.043405238694735
2.15688 2.0334162276747456
2.16914 2.029360859952954
2.18139 2.0262446300193684
2.19365 2.0251347399060355
2.2059 2.0251774279873174
2.21815 2.024622482930651
2.23041 2.024579794849369
2.24267 2.024067537873985
2.25492 2.0230003358419357
2.26717 2.0215916291596296
2.27943 2.0133528294722014
2.29169 2.013224765228356
2.30394 2.008571764368617
2.3162 2.0063946722232338
2.32845 2.0023393045014433
2.3407 1.9994792030555493
2.35296 1.997344798991448
2.36522 1.9973021109101659
2.37747 1.9964483492845262
2.38972 1.9977716798042684
2.40198 1.992094164993761
2.41423 1.9918380365060695
2.42649 1.988508366166073
2.43875 1.9804403188037727
2.451 1.9776655935204426
2.46325 1.9739090423676255
2.47551 1.9737382900424978
2.48777 1.972671088010447
2.50002 1.9644749764043024
2.51227 1.9620844438525096
2.52453 1.9637065909412266
2.53678 1.9621271319337914
2.54904 1.9597365993819984
2.5613 1.960504984845076
2.57355 1.9584132688622562
2.5858 1.9590535900814865
2.59806 1.9605903610076396
2.61032 1.9549128461971321
2.62257 1.9527784421330323
